Supplier Name,GSTIN,Invoice No,Invoice Date,Total value,Taxable Value,IGST,CGST,SGST,CESS,is_duplicate
soham food,27aeefs3366k1zm,245,2026-01-01,8840.0,8840.0,0.0,0.0,0.0,0,False
modern dryfruits,27aabpd5589q1z2,MH/21679,2026-01-01,15456.0,14720.0,736.0,0.0,0.0,0,False
choraria rajasthani foods,,INV-17,2026-01-01,4900.0,4900.0,0.0,0.0,0.0,0,False
atal mirch store,36aakpa5785e1zo,25-26/3789,2026-01-01,660.0,660.0,0.0,0.0,0.0,0,False
new bakery,,739,2026-01-01,5240.0,5240.0,0.0,0.0,0.0,0,False
sri venkateswara associates,36ahhpb7007n3z8,A009446,2026-01-01,1491.0,1420.0,0.0,35.5,35.5,0,False
haresh khimji savla,,423,2026-01-01,2520.0,2520.0,0.0,0.0,0.0,0,False
b sundar rao hotels private limited (taj mahal hot),36aabcb4774g1zo,6456,2026-01-01,9830.0,9830.0,0.0,0.0,0.0,0,False
sawan foods,27bespm3224b1zm,2188/25-26,2026-01-02,25704.0,25704.0,0.0,0.0,0.0,0,False
new bakery,,740,2026-01-02,5178.0,5178.0,0.0,0.0,0.0,0,False
unnati food products,24ajypg8397b1zq,0472/25-26,2026-01-03,1784.0,1699.5,84.98,0.0,0.0,0,False
sri sangam dairy products,36ayrps9589h1z6,16294,2026-01-03,1625.0,1625.0,0.0,0.0,0.0,0,False
new bakery,,741,2026-01-03,6520.0,6520.0,0.0,0.0,0.0,0,False
new bakery,,742,2026-01-04,3224.0,3224.0,0.0,0.0,0.0,0,False
mr namkiin,27bbfpg4255a1z4,INV3475,2026-01-05,8789.0,8370.0,418.5,0.0,0.0,0,False
kapol masala,27amrpk1568n1z9,602/2025-26,2026-01-05,16275.0,15500.0,775.0,0.0,0.0,0,False
saheli gruh udyog,,154,2026-01-05,8585.0,8585.0,0.0,0.0,0.0,0,False
new bakery,,743,2026-01-05,3254.0,3254.0,0.0,0.0,0.0,0,False
dharmi trading,27aaqpr8996q1z0,1966,2026-01-06,8883.0,8460.0,423.0,0.0,0.0,0,False
nutoras foods private limited,27aaccf2404l1zs,NFPL/25-26/08091,2026-01-06,1554.0,1554.24,0.0,0.0,0.0,0,False
sangeetha choudhary,,34,2026-01-06,21600.0,21600.0,0.0,0.0,0.0,0,False
crux marketing,36ajapp2256q2zq,17599,2026-01-06,800.0,800.0,0.0,0.0,0.0,0,False
new bakery,,744,2026-01-06,4400.0,4400.0,0.0,0.0,0.0,0,False
ss distributors,36aenfs6018k1zj,106780,2026-01-06,4059.0,3866.17,0.0,96.65,96.65,0,False
shree ram traders,36bgspm7381m1ze,2456,2026-01-06,10436.0,9939.29,0.0,248.48,248.48,0,False
dharmi trading,27aaqpr8996q1z0,1979,2026-01-07,5080.0,5080.0,0.0,0.0,0.0,0,False
varsha gruh udyog,27acwpn4908q1zi,25-26/5435,2026-01-07,16570.0,16570.0,0.0,0.0,0.0,0,False
kalyani namkeens pvt ltd,27aadck5727c1zp,25-26/234,2026-01-07,16800.0,16800.0,0.0,0.0,0.0,0,False
new janta dryfruit sweets,27fvmpd2922j1ze,1373,2026-01-07,4704.0,4480.0,224.0,0.0,0.0,0,False
new bakery,,745,2026-01-07,5526.0,5526.0,0.0,0.0,0.0,0,False
new bakery,,746,2026-01-08,4286.0,4286.0,0.0,0.0,0.0,0,False
naman sev bhandar and sweets,23abrpa2259d1z1,S/562,2026-01-09,14190.0,13514.0,675.7,0.0,0.0,0,False
new bakery,,747,2026-01-09,5087.0,5087.0,0.0,0.0,0.0,0,False
dharmi trading,27aaqpr8996q1z0,2006,2026-01-10,4960.0,4960.0,0.0,0.0,0.0,0,False
jsk food and pickle,27cktps5964z1ak,JSK/1594/25-26,2026-01-10,315.0,300.0,15.0,0.0,0.0,0,False
ss distributors,36aenfs6018k1zj,107530,2026-01-10,15289.0,14561.31,0.0,364.03,364.03,0,False
m.a foods,36acqpm2769q1zj,3036,2026-01-10,7682.0,7682.0,0.0,0.0,0.0,0,False
new bakery,,748,2026-01-10,6950.0,6950.0,0.0,0.0,0.0,0,False
