Supplier Name,GSTIN,Invoice No,Invoice Date,Total value,Taxable Value,IGST,CGST,SGST,CESS,is_duplicate
varalaxmi agencies,36aqepa3910b1zo,VL2INV-2600250,2026-01-23,500.62,476.78,0.0,11.92,11.92,0,False
beenas food private limited,27aahcb4215c1z5,2954,2025-11-20,7560.0,7200.0,360.0,0.0,0.0,0,False
trice,36aahct7510j1z5,TSPL42994,2025-12-03,654.6,31.18,0.0,2.81,2.81,0,False
trice,36aahct7510j1z5,TSPL43093,2025-12-10,7297.7,347.5,0.0,31.28,31.28,0,False
trice,36aahct7510j1z5,TSPL43219,2025-12-17,7366.72,350.77,0.0,31.57,31.57,0,False
trice,36aahct7510j1z5,TSPL43353,2025-12-24,6426.18,305.97,0.0,27.54,27.54,0,False
trice,36aahct7510j1z5,TSPL43476,2025-12-31,2095.15,99.76,0.0,8.98,8.98,0,False
trice,36aahct7510j1z5,TSPL43594,2026-01-07,3205.98,144.87,0.0,13.04,13.04,0,False
trice,36aahct7510j1z5,TSPL43712,2026-01-14,9671.71,417.37,0.0,37.56,37.56,0,False
trice,36aahct7510j1z5,TSPL43827,2026-01-21,1629.85,74.48,0.0,6.7,6.7,0,False
trice,36aahct7510j1z5,TSPL43934,2026-01-28,3154.63,131.82,0.0,11.86,11.86,0,False
shree gajanan foods,27agdpp0712b1z0,SGF/25-26/0310,2025-11-02,7560.0,7200.0,360.0,0.0,0.0,0,False
shree gajanan foods,27agdpp0712b1z0,SGF/25-26/0324,2025-11-14,22680.0,21600.0,1080.0,0.0,0.0,0,False
shree gajanan foods,27agdpp0712b1z0,SGF/25-26/0337,2025-11-28,7560.0,7200.0,360.0,0.0,0.0,0,False
shree gajanan foods,27agdpp0712b1z0,SGF/25-26/0339,2025-11-29,15120.0,14400.0,720.0,0.0,0.0,0,False
shree gajanan foods,27agdpp0712b1z0,SGF/25-26/0362,2025-12-19,15120.0,14400.0,720.0,0.0,0.0,0,False
naman sev bhandar and sweets,23abrpa2259d1z1,S/382,2025-10-27,13504.0,12670.0,633.5,0.0,0.0,0,False
naman sev bhandar and sweets,23abrpa2259d1z1,S/389,2025-10-31,12553.0,11765.0,588.25,0.0,0.0,0,False
naman sev bhandar and sweets,23abrpa2259d1z1,S/537,2025-12-31,11493.0,10660.0,533.0,0.0,0.0,0,False
naman sev bhandar and sweets,23abrpa2259d1z1,S/538,2025-12-31,7702.0,7240.0,362.0,0.0,0.0,0,False
naman sev bhandar and sweets,23abrpa2259d1z1,S/485,2025-12-12,13504.0,12670.0,633.5,0.0,0.0,0,False
naman sev bhandar and sweets,23abrpa2259d1z1,S/498,2025-12-19,13504.0,12670.0,633.5,0.0,0.0,0,False
naman sev bhandar and sweets,23abrpa2259d1z1,S/432,2025-11-23,5702.0,5430.0,271.5,0.0,0.0,0,False
naman sev bhandar and sweets,23abrpa2259d1z1,S/439,2025-11-27,13504.0,12670.0,633.5,0.0,0.0,0,False
naman sev bhandar and sweets,23abrpa2259d1z1,S/345,2025-10-09,33259.0,31675.0,1583.75,0.0,0.0,0,False
gajanan roadlines,24bbkpk2202e1za,RJT-183149,2026-01-24,2530.0,2530.0,126.5,0.0,0.0,0,False
pasura xpress llp,36abcfp4179q1zh,PX2INV-2600468,2026-01-28,684.0,651.6,0.0,16.29,16.29,0,False
kotak mahindra bank ltd.,36aaack4409j1zl,KB00001249844131,2026-01-20,2.36,2.0,0.0,0.18,0.18,0,False
kotak mahindra bank ltd.,36aaack4409j1zl,KB00001252522215,2026-01-17,588.82,499.0,0.0,44.91,44.91,0,False
kotak mahindra bank ltd.,36aaack4409j1zl,KB00001252801391,2026-01-17,531.0,450.0,0.0,40.5,40.5,0,False
kotak mahindra bank ltd.,36aaack4409j1zl,KB00001256756935,2026-01-21,305.62,259.0,0.0,23.31,23.31,0,False
sudha enterprises,36ahlpv1040m1zz,HYDSE/25-26/636,2025-12-06,56899.0,48219.6,0.0,4339.76,4339.76,0,False
jabbar travels,29acqpj0901k1zf,HO/70021/25-26,2026-01-03,160.0,160.0,8.0,0.0,0.0,0,False
jabbar travels,29acqpj0901k1zf,HO/72617/25-26,2026-01-12,310.0,310.0,15.5,0.0,0.0,0,False
jabbar travels,29acqpj0901k1zf,HO/75273/25-26,2026-01-22,490.0,490.0,24.5,0.0,0.0,0,False
tks marketing,36aeqpb4261a1zw,D-1611,2026-01-24,1050.0,1000.0,0.0,25.0,25.0,0,False
tks marketing,36aeqpb4261a1zw,D-600,2025-12-11,3150.0,3000.0,0.0,75.0,75.0,0,False
porter,36aagcr8772d1z3,CRN1553349934,2026-01-11,86.0,86.0,0.0,2.15,2.15,0,False
porter,36aagcr8772d1z3,CRN1383085313,2026-01-06,148.0,148.0,0.0,3.7,3.7,0,False
dikshitha agency,36aqypb6324q1z2,DAK2502396,2025-12-31,22193.0,21135.76,0.0,528.39,528.39,0,False
reliance jio infocomm limited,36aabci6363g1zk,C36E252600179433,2026-01-02,2003.64,1698.0,0.0,152.82,152.82,0,False
bowlful foods,24aakcc5955f2zj,B2B/818,2026-01-19,23880.0,22742.4,1137.12,0.0,0.0,0,False
sai sagar gruha udyog,27aaupy3208q1zm,643,2025-12-09,18121.0,17115.0,855.75,0.0,0.0,0,False
sai sagar gruha udyog,27aaupy3208q1zm,659,2025-12-12,14958.0,14150.0,707.5,0.0,0.0,0,False
sai sagar gruha udyog,27aaupy3208q1zm,671,2025-12-16,31120.0,29400.0,1470.0,0.0,0.0,0,False
unnati food products,24ajypg8397b1zq,480/25-26,2026-01-09,2778.0,2645.5,132.28,0.0,0.0,0,False
unnati food products,24ajypg8397b1zq,472/25-26,2026-01-05,1784.0,1699.5,84.98,0.0,0.0,0,False
porter,36aagcr8772d1z3,36SS25A0336321,2026-01-15,1826.0,1826.0,0.0,45.65,45.65,0,False
porter,36aagcr8772d1z3,36SS25A0347940,2026-01-31,1064.0,1064.0,0.0,26.6,26.6,0,False
bhore foods,27afepb2212c1ze,107,2025-12-22,16800.0,16000.0,800.0,0.0,0.0,0,False
shyam parcel service,08ahvpm3622l1zr,108674,2026-01-30,840.0,840.0,42.0,0.0,0.0,0,False
shyam parcel service,08ahvpm3622l1zr,104876,2026-01-03,735.0,735.0,36.75,0.0,0.0,0,False
m/s vishal shopping centre,36acbpj2670g1zu,1062,2026-01-29,4800.0,4067.8,0.0,366.1,366.1,0,False
swastik enterprises,27frwpb9530g1zb,044,2026-01-10,12902.0,12288.0,614.4,0.0,0.0,0,False
amba foods,27aazpg4342e1zj,005,2025-12-04,6536.0,6225.0,311.25,0.0,0.0,0,False
ambika mahila gruh udyog,27afppc5909n1zx,1535/25-26,2025-08-15,15556.8,14816.0,740.8,0.0,0.0,0,False
mataji sales,27andpb1860b1zo,16183,2025-12-17,4585.0,4366.88,218.34,0.0,0.0,0,False
tks marketing,36aeqpb4261a1zw,AB-876,2025-12-23,3150.0,3000.0,0.0,75.0,75.0,0,False
mahesh enterprises,36agepc1400c3ze,A006675,2025-12-04,4120.2,3924.0,0.0,98.1,98.1,0,False
mahesh enterprises,36agepc1400c3ze,A006706,2025-12-05,2013.0,1916.68,0.0,47.92,47.92,0,False
mahesh enterprises,36agepc1400c3ze,A006944,2025-12-17,5036.0,4795.98,0.0,119.9,119.9,0,False
mahesh enterprises,36agepc1400c3ze,A007032,2025-12-22,3550.0,3380.66,0.0,84.52,84.52,0,False
vrl logistics limited.,24aabcv3609c1zt,2590164220,2026-01-17,500.0,500.0,25.0,0.0,0.0,0,False
swathi sales,36adtpl3770a1zh,981,2025-11-27,4258.0,4055.09,0.0,101.38,101.38,0,False
janvi gruha udyog,27aiqpp5376g1zm,2526-427,2025-12-10,15360.0,15360.0,0.0,0.0,0.0,0,False
ankit marketing,36fxppm6332g1z2,25-26/12/055,2025-12-12,19015.13,18109.64,0.0,452.74,452.74,0,False
ankit marketing,36fxppm6332g1z2,25-26/12/056,2025-12-24,11258.19,10722.09,0.0,268.05,268.05,0,False
champion traders,27chlps8219p1za,20208,2026-01-24,21489.0,20465.33,1023.27,0.0,0.0,0,False
sai sagar gruha udyog,27aaupy3208q1zm,700,2025-12-27,34955.0,33005.0,1650.25,0.0,0.0,0,False
glorious multi services,36aakfg1348p1zx,2778,2025-12-31,1474.0,1404.02,0.0,35.1,35.1,0,False
sri shyam traders,36dfipa4590f2zh,280,2025-12-23,3500.0,2966.1,0.0,266.95,266.95,0,False
,36acapg3624j1zv,2875,2026-02-06,3370.0,2856.0,0.0,257.0,257.0,0,False
champion traders,27chlps8219p1za,21344,2026-02-28,11182.0,12077.68,603.88,0.0,0.0,0,False
shree ram traders,36bgspm7381m1ze,2425,2025-12-17,6328.0,6027.0,0.0,150.68,150.68,0,False
shree ram traders,36bgspm7381m1ze,2385,2025-11-28,4042.0,3850.0,0.0,96.25,96.25,0,False
shree ram traders,36bgspm7381m1ze,2386,2025-11-28,11141.0,10610.0,0.0,265.25,265.25,0,False
shree ram traders,36bgspm7381m1ze,2352,2025-11-10,5385.0,5129.0,0.0,128.23,128.23,0,False
shree ram traders,36bgspm7381m1ze,2353,2025-11-10,6788.0,6465.0,0.0,161.63,161.63,0,False
shree ram traders,36bgspm7381m1ze,2343,2025-11-08,2066.0,1968.0,0.0,49.2,49.2,0,False
shree ram traders,36bgspm7381m1ze,2409,2025-12-08,5111.0,4868.0,0.0,121.7,121.7,0,False
shree ram traders,36bgspm7381m1ze,2424,2025-12-18,3775.0,3571.0,0.0,101.63,101.63,0,False
shree ram traders,36bgspm7381m1ze,2313,2025-10-14,7462.0,7093.0,0.0,183.89,183.89,0,False
shree ram traders,36bgspm7381m1ze,2316,2025-10-18,7199.0,6830.0,0.0,183.95,183.95,0,False
shree ram traders,36bgspm7381m1ze,2300,2025-10-09,1849.0,1762.0,0.0,44.05,44.05,0,False
shree ram traders,36bgspm7381m1ze,2299,2025-10-09,2661.0,2534.0,0.0,63.35,63.35,0,False
shree ram traders,36bgspm7381m1ze,2241,2025-11-08,4114.0,3918.0,0.0,97.95,97.95,0,False
shree ram traders,36bgspm7381m1ze,2242,2025-11-08,3302.0,3145.0,0.0,78.63,78.63,0,False
shree ram traders,36bgspm7381m1ze,2446,2025-12-29,2439.0,2322.0,0.0,58.05,58.05,0,False
vrl logistics limited,27aabcv3609c1zn,2575112511,2026-02-17,1240.0,1240.0,62.0,0.0,0.0,0,False
venkateshwara agencies,36cnxpa5870q1zz,870,2026-02-24,8001.0,7620.0,0.0,190.5,190.5,0,False
,27aabpg4629e1z1,AT/2025-26/15922,2026-02-18,26200.0,24952.4,1247.63,0.0,0.0,0,False
sri ganesh home food,36avepm5637j1z9,1270,2026-02-28,79821.0,76020.0,0.0,1900.5,1900.5,0,False
swastik enterprises,27frwpb9530g1zb,073,2026-02-18,18446.0,17568.0,878.4,0.0,0.0,0,False
shyam parcel service,08ahvpm3622l1zr,114312,2026-02-28,660.0,660.0,33.0,0.0,0.0,0,False
shyam parcel service,08ahvpm3622l1zr,110990,2026-02-10,675.0,675.0,33.75,0.0,0.0,0,False
shree balaji sugar agencies,36agfpk5544a1zq,3341,2026-02-11,800.0,761.9,0.0,19.05,19.05,0,False
beenas food private limited,27aahcb4215c1z5,3488,2025-12-31,7875.0,7500.0,375.0,0.0,0.0,0,False
beenas food private limited,27aahcb4215c1z5,3244,2025-12-12,7560.0,7200.0,360.0,0.0,0.0,0,False
porter,36aagcr8772d1z3,36SS25A0356039,2026-02-15,1388.0,1388.0,0.0,34.7,34.7,0,False
porter,36aagcr8772d1z3,36SS25A0367469,2026-02-28,1386.0,1386.0,0.0,34.65,34.65,0,False
porter,36aagcr8772d1z3,CRN1859786599,2026-02-05,756.0,756.0,0.0,18.9,18.9,0,False
tks marketing,36aeqpb4261a1zw,D-1632,2026-02-21,1050.0,1000.0,0.0,25.0,25.0,0,False
amrutha enterprises,36aaefa9484e1zb,F2531065,2026-02-28,174.0,165.32,0.0,4.13,4.13,0,False
kusum enterprises,24acdpm5101b2zf,GT/1698,2026-02-24,8319.0,7050.0,1269.0,0.0,0.0,0,False
sridhaara enterprises,36aewfs7502m1z7,I/25-26/064447,2026-02-28,125.3,119.33,0.0,2.98,2.98,0,False
jinesh farsan,27aaapm7865r1zt,JF/2025-26/0185,2026-02-12,41696.0,39710.0,1985.5,0.0,0.0,0,False
innovative snacks,24aaifi1370f1zp,IS/2025-26/381,2026-02-20,6300.0,6000.0,300.0,0.0,0.0,0,False
m/s info edge india ltd,09aaaci1838d1zu,JH09I0226/001068,2026-02-06,1121.0,950.0,171.0,0.0,0.0,0,False
kotak mahindra bank ltd.,36aaack4409j1zl,KB00001271270196,2026-02-13,588.82,499.0,0.0,44.91,44.91,0,False
kotak mahindra bank ltd.,36aaack4409j1zl,KB00001271596181,2026-02-13,531.0,450.0,0.0,40.5,40.5,0,False
punjab sind foods (india) private limited,36aafcp9597f1zt,KP/CR/7130/25-26,2026-02-25,4072.0,3902.88,0.0,84.56,84.56,0,False
,27aadco9507a1zn,OHRIPL25-26/1808,2026-02-13,2832.0,2400.0,432.0,0.0,0.0,0,False
,27aadco9507a1zn,OHRIPL25-26/1809,2026-02-13,5900.0,5000.0,900.0,0.0,0.0,0,False
pooja agencies,36adqpm5752q1zk,PA/2526/10566,2026-02-23,5304.0,5051.52,0.0,126.28,126.28,0,False
maru sweet centre,27aadpm6883e1zh,P-2887,2026-02-19,16115.0,15347.62,767.38,0.0,0.0,0,False
pasura xpress llp,36abcfp4179q1zh,PX2INV-2600979,2026-02-23,521.0,495.72,0.0,12.39,12.39,0,False
gajanan roadlines,24bbkpk2202e1za,RJT-185153,2026-02-28,3280.0,3280.0,164.0,0.0,0.0,0,False
raghuvanshi khaman and farsan mart,27abjfr3278h1zs,RK/04024/25-26,2026-02-14,46902.0,44668.1,2233.41,0.0,0.0,0,False
shree ganesh agency,27abzfs3098n1zw,SG/14108/25-26,2026-01-22,6750.0,6428.46,321.42,0.0,0.0,0,False
shanti industries,24abafs8547h1z0,SI/0671/25-26,2026-02-13,7182.0,6840.0,342.0,0.0,0.0,0,False
,27aufpp8296a1zc,SP/2025-26/135,2026-02-28,17735.0,15030.0,2705.4,0.0,0.0,0,False
cresce technology private limited,06aajcc5229p1z7,SLRBXSW000015218,2026-02-16,25592.01,21688.14,3903.87,0.0,0.0,0,False
,36bwrps5695f1zm,SM/25-26/8578,2026-02-28,2997.0,2854.5,0.0,71.36,71.36,0,False
new hyderabad agencies,36aaofn2804r1zn,SIT-GST-6877,2026-02-10,7782.0,7388.34,0.0,196.83,196.83,0,False
new hyderabad agencies,36aaofn2804r1zn,SIT-GST-7176,2026-02-23,6248.0,5950.47,0.0,148.75,148.75,0,False
trice,36aahct7510j1z5,TSPL44045,2026-02-04,3475.35,154.88,0.0,13.94,13.94,0,False
trice,36aahct7510j1z5,TSPL44157,2026-02-11,2845.12,125.62,0.0,11.31,11.31,0,False
